outcome_variable,did_coef,did_se,did_t,did_p,elig_coef,elig_se,elig_t,elig_p,n,rsquared,panel
outcome_worked_last_week,0.02772282268674081,0.007936945785193767,3.4928829598984095,5.212037105422834e-4,0.018181953766402806,0.005973322805566663,3.043859231826324,0.002461444447017721,85825,0.14545247707818243,panel_a
outcome_worked_last_year,0.020716627042291307,0.007191013255889819,2.8809051388305114,0.004138821748502948,0.0234572064992009,0.005060118295780769,4.635703184797083,4.565525763571697e-6,92224,0.1392761483798164,panel_a
outcome_hours_worked,1.2907099180268367,0.3500372313866963,3.6873503795970546,2.5188155778294393e-4,0.5337260110215408,0.23553715715290743,2.2659949600862905,0.02388621322046206,92224,0.19027958883139384,panel_a
outcome_labor_force,0.024132437309407225,0.008097942977387898,2.9800700470221724,0.0030246920921246255,0.024486155969521466,0.006169996534264977,3.968585044341271,8.309193771428982e-5,92224,0.12540702633225098,panel_a
outcome_unemployed,-0.012085121290879906,0.004604620427144819,-2.624564061705627,0.008946325904712431,0.009091801496660308,0.003822437129044974,2.378535261594184,0.017763081399959427,92224,0.014757410464594112,panel_a
outcome_self_employed,-0.00428471489205495,0.005242264584740013,-0.8173404494934412,0.4141303171156243,0.0030956924806978983,0.0032392179567872657,0.955691318705914,0.3396984987708146,92224,0.026827957237818723,panel_a
outcome_income,55.18794519368759,458.93555404675215,0.12025205871948101,0.9043326697455218,-277.9688662768294,273.1733952365762,-1.0175546781783056,0.3093907622188077,92224,0.17867385970067517,panel_a
outcome_income_sub90,205.38205510202587,300.77408842167927,0.6828449092133373,0.49502755380487806,-86.88861218479279,209.00607833578053,-0.41572289608343893,0.6777947822910708,89493,0.23436938272079244,panel_a
outcome_school_attendance,-0.018445575210788764,0.009677937833022737,-1.9059406589541614,0.05724156652337292,0.032270458202632746,0.005819093131706688,5.545616382525245,4.7925489532471335e-8,92224,0.23922465809090443,panel_a
outcome_ged,0.015527339028535293,0.0061476028604654865,2.5257550594866482,0.011858476454039826,0.0014443475583309805,0.004038596576620147,0.35763600818473873,0.7207694068191257,92224,0.5868726079808206,panel_a
outcome_log_income,0.19422814959843007,0.07095684688402873,2.7372714280254717,0.006419876133413958,0.1568499123904094,0.04876255822213237,3.216605488085699,0.0013827644304752712,92224,0.18357934159696498,panel_a
