outcome_variable,daca_mean,control_mean.nondaca,difference.nondaca,t_stat.nondaca,control_mean.citizen,difference.citizen,t_stat.citizen
outcome_worked_last_week,0.6353628835849926,0.6815395492296803,-0.0461766656446877,-18.544578683856834,0.68779122809182,-0.05242834450682743,-23.708851898935222
outcome_worked_last_year,0.7378833018456902,0.7676214032725054,-0.02973810142681521,-13.546836195775594,0.8002266047062598,-0.06234330286056966,-32.082583008350284
outcome_hours_worked,26.406953931113485,30.031452155838593,-3.6244982247251087,-38.46820445802244,29.070076684392923,-2.6631227532794384,-32.3418741423495
outcome_labor_force,0.7291636390059679,0.747036267306725,-0.017872628300757087,-8.01661352640338,0.7756153631425537,-0.046451724136585826,-23.602580559457525
outcome_unemployed,0.09311873274234218,0.05890144308168645,0.034217289660655736,24.56818092270297,0.08884874956917595,0.004269983173166236,3.3071508764950557
outcome_self_employed,0.03609577096351944,0.06773409829346602,-0.031638327329946585,-30.24641792743935,0.03114501059124703,0.004950760372272406,5.996598269503579
outcome_income,13046.622874580045,18286.481405323597,-5239.8585307435515,-57.66595675004805,20861.750064872525,-7815.12719029248,-102.69783621809498
outcome_school_attendance,0.31121929952042027,0.10806281649742992,0.20315648302299033,94.72735591827083,0.31864562636517896,-0.0074263268447586905,-3.6020136212135867
outcome_ged,0.16928862084004925,0.24887304979095404,-0.07958442895090478,-40.18236349791509,0.13990213304002921,0.02938648780002004,17.713265876407306
outcome_log_income,7.091349005120304,7.662599532726832,-0.5712505276065274,-27.825515441639812,8.084637096229677,-0.9932880911093731,-55.10760279250185
demo_yrsusa,14.764351111757279,8.864004917599688,5.90034619415759,197.58120623228427,2.7592275735243357,12.005123538232944,473.6414790222188
demo_age_of_entry,8.021599331492682,20.1267379913942,-12.105138659901518,-466.87664423351083,23.067250693752815,-15.045651362260132,-667.9859505860607
demo_male,0.5171486702514178,0.5335377455141438,-0.01638907526272604,-6.499979818416378,0.47801934350324227,0.039129326748175486,17.594515951574238
demo_white,0.5778229908443628,0.5879533413341818,-0.010130350489818918,-4.066997534641995,0.6121627612933517,-0.03433977044898884,-15.639050589868095
demo_black,0.010645255050138,0.01289406668032256,-0.002248811630184559,-4.21635317817226,0.025534081019407757,-0.014888825969269756,-30.898976086379168
demo_asian,0.0027430606016567286,0.0034247577788833953,-6.816971772266667e-4,-2.4946871599524894,0.0072431402814515785,-0.0045000796797948495,-18.145759777146235
demo_home_spanish,0.9636680715012356,0.9604689283728042,0.003199143128431392,3.346475576457199,0.6102136324076299,0.35345443909360563,348.84405266115067
demo_latin_america,0.993460252870223,0.9864546439130042,0.007005608957218801,15.080406207687068,0.12258986190224164,0.8708703909679814,1604.3564633443611
demo_age,22.785950443249458,28.990742908995745,-6.204792465746287,-330.3472577079624,25.82647826727424,-3.0405278240247817,-189.15554599566107
demo_married,0.239881557913068,0.5275005122499423,-0.28761895433687434,-126.90826869632687,0.302586249362365,-0.062704691449297,-32.78103921025209
demo_metro,0.9032480744077865,0.9037335714076701,-4.85496999883539e-4,-0.32553477613557585,0.8916583195126248,0.011589754895161786,8.770558249165617
demo_highschool,0.5768238628106462,0.5971592073295726,-0.02033534451892638,-8.170327288848434,0.3727450368643865,0.20407882594625976,92.97191966705655
demo_some_college,0.3754359831419869,0.2528612826742646,0.12257470046772229,51.60310608930503,0.46495673163783435,-0.08952074849584746,-41.433240045094905
demo_college,0.04774015404737507,0.14997950999617185,-0.10223935594879678,-77.09237835768242,0.1622982314977518,-0.11455807745037673,-111.84466491301767
